"","GO.ID","Term","KS"
"1041","GO:0043170","macromolecule metabolic process","6.2e-05"
"1042","GO:0044260","cellular macromolecule metabolic process","0.00016"
"1043","GO:0071704","organic substance metabolic process","0.00018"
"1044","GO:0006807","nitrogen compound metabolic process","0.00038"
"1045","GO:0048514","blood vessel morphogenesis","0.00054"
"1046","GO:0008152","metabolic process","0.00058"
"1047","GO:0044238","primary metabolic process","0.00063"
"1048","GO:0001568","blood vessel development","0.00109"
"1049","GO:0044237","cellular metabolic process","0.00110"
"1050","GO:0072358","cardiovascular system development","0.00122"
"1051","GO:0051129","negative regulation of cellular componen...","0.019"
"1052","GO:0006325","chromatin organization","0.022"
"1053","GO:0009725","response to hormone","0.034"
"1054","GO:0006396","RNA processing","0.046"
"1055","GO:0016569","covalent chromatin modification","0.052"
"1056","GO:0016570","histone modification","0.052"
"1057","GO:0007276","gamete generation","0.058"
"1058","GO:0033993","response to lipid","0.064"
"1059","GO:0045597","positive regulation of cell differentiat...","0.064"
"1060","GO:0045944","positive regulation of transcription by ...","0.066"
"1061","GO:0098742","cell-cell adhesion via plasma-membrane a...","7.0e-09"
"1062","GO:0007156","homophilic cell adhesion via plasma memb...","1.7e-08"
"1063","GO:0098609","cell-cell adhesion","2.4e-06"
"1064","GO:0007155","cell adhesion","4.1e-06"
"1065","GO:0022610","biological adhesion","4.1e-06"
"1066","GO:0006954","inflammatory response","0.017"
"1067","GO:0043604","amide biosynthetic process","0.017"
"1068","GO:0030155","regulation of cell adhesion","0.023"
"1069","GO:0051270","regulation of cellular component movemen...","0.060"
"1070","GO:0001501","skeletal system development","0.071"
"1071","GO:0007156","homophilic cell adhesion via plasma memb...","6.4e-06"
"1072","GO:0030199","collagen fibril organization","1.0e-05"
"1073","GO:0030198","extracellular matrix organization","1.5e-05"
"1074","GO:0043062","extracellular structure organization","1.5e-05"
"1075","GO:0007155","cell adhesion","8.1e-05"
"1076","GO:0022610","biological adhesion","8.1e-05"
"1077","GO:0098742","cell-cell adhesion via plasma-membrane a...","1.0e-04"
"1078","GO:0043414","macromolecule methylation","0.00029"
"1079","GO:0098609","cell-cell adhesion","0.00046"
"1080","GO:0006304","DNA modification","0.00100"
"1081","GO:0006325","chromatin organization","0.0036"
"1082","GO:0007167","enzyme linked receptor protein signaling...","0.0049"
"1083","GO:0016569","covalent chromatin modification","0.0088"
"1084","GO:2000113","negative regulation of cellular macromol...","0.0131"
"1085","GO:0002520","immune system development","0.0165"
"1086","GO:0030097","hemopoiesis","0.0165"
"1087","GO:0048534","hematopoietic or lymphoid organ developm...","0.0165"
"1088","GO:0016570","histone modification","0.0168"
"1089","GO:0010558","negative regulation of macromolecule bio...","0.0243"
"1090","GO:0010629","negative regulation of gene expression","0.0244"
"1091","GO:1901564","organonitrogen compound metabolic proces...","0.0048"
"1092","GO:0006464","cellular protein modification process","0.0117"
"1093","GO:0036211","protein modification process","0.0117"
"1094","GO:0044267","cellular protein metabolic process","0.0161"
"1095","GO:0007049","cell cycle","0.0194"
"1096","GO:0044237","cellular metabolic process","0.0281"
"1097","GO:0043412","macromolecule modification","0.0300"
"1098","GO:0030163","protein catabolic process","0.0319"
"1099","GO:1901565","organonitrogen compound catabolic proces...","0.0365"
"1100","GO:0019538","protein metabolic process","0.0387"
"1101","GO:0033043","regulation of organelle organization","0.016"
"1102","GO:0048732","gland development","0.027"
"1103","GO:0010638","positive regulation of organelle organiz...","0.028"
"1104","GO:0046486","glycerolipid metabolic process","0.034"
"1105","GO:0051179","localization","0.036"
"1106","GO:0051301","cell division","0.039"
"1107","GO:0006468","protein phosphorylation","0.045"
"1108","GO:0070925","organelle assembly","0.047"
"1109","GO:0043933","protein-containing complex subunit organ...","0.048"
"1110","GO:0022402","cell cycle process","0.056"
"1111","GO:0030198","extracellular matrix organization","2.7e-05"
"1112","GO:0043062","extracellular structure organization","2.7e-05"
"1113","GO:0007156","homophilic cell adhesion via plasma memb...","4.9e-05"
"1114","GO:0030199","collagen fibril organization","7.3e-05"
"1115","GO:0043414","macromolecule methylation","0.00035"
"1116","GO:0098742","cell-cell adhesion via plasma-membrane a...","0.00056"
"1117","GO:0006479","protein methylation","0.00057"
"1118","GO:0008213","protein alkylation","0.00057"
"1119","GO:0006304","DNA modification","0.00094"
"1120","GO:0044728","DNA methylation or demethylation","0.00094"
"1121","GO:0007156","homophilic cell adhesion via plasma memb...","1.6e-05"
"1122","GO:0030199","collagen fibril organization","5.7e-05"
"1123","GO:0030198","extracellular matrix organization","7.7e-05"
"1124","GO:0043062","extracellular structure organization","7.7e-05"
"1125","GO:0098742","cell-cell adhesion via plasma-membrane a...","0.00025"
"1126","GO:0007155","cell adhesion","0.00030"
"1127","GO:0022610","biological adhesion","0.00030"
"1128","GO:0043414","macromolecule methylation","0.00056"
"1129","GO:0016571","histone methylation","0.00096"
"1130","GO:0006479","protein methylation","0.00110"
"1131","GO:0044271","cellular nitrogen compound biosynthetic ...","0.0015"
"1132","GO:0006355","regulation of transcription, DNA-templat...","0.0018"
"1133","GO:0019219","regulation of nucleobase-containing comp...","0.0018"
"1134","GO:0051252","regulation of RNA metabolic process","0.0018"
"1135","GO:1903506","regulation of nucleic acid-templated tra...","0.0018"
"1136","GO:2001141","regulation of RNA biosynthetic process","0.0018"
"1137","GO:0010467","gene expression","0.0043"
"1138","GO:0006351","transcription, DNA-templated","0.0045"
"1139","GO:0016070","RNA metabolic process","0.0045"
"1140","GO:0032774","RNA biosynthetic process","0.0045"
"1141","GO:0006650","glycerophospholipid metabolic process","8.7e-05"
"1142","GO:0046486","glycerolipid metabolic process","8.9e-05"
"1143","GO:0019637","organophosphate metabolic process","0.00016"
"1144","GO:0006644","phospholipid metabolic process","0.00022"
"1145","GO:0006629","lipid metabolic process","0.00067"
"1146","GO:0044255","cellular lipid metabolic process","0.00119"
"1147","GO:0008610","lipid biosynthetic process","0.00186"
"1148","GO:0031349","positive regulation of defense response","0.00676"
"1149","GO:0008654","phospholipid biosynthetic process","0.00696"
"1150","GO:1901566","organonitrogen compound biosynthetic pro...","0.00773"
"1151","GO:0006810","transport","0.0038"
"1152","GO:0051234","establishment of localization","0.0071"
"1153","GO:0009755","hormone-mediated signaling pathway","0.0078"
"1154","GO:0006260","DNA replication","0.0096"
"1155","GO:0050807","regulation of synapse organization","0.0103"
"1156","GO:0002429","immune response-activating cell surface ...","0.0105"
"1157","GO:0002757","immune response-activating signal transd...","0.0105"
"1158","GO:0009968","negative regulation of signal transducti...","0.0123"
"1159","GO:0010648","negative regulation of cell communicatio...","0.0127"
"1160","GO:0023057","negative regulation of signaling","0.0127"
"1161","GO:0010631","epithelial cell migration","0.0005"
"1162","GO:0090130","tissue migration","0.0005"
"1163","GO:0090132","epithelium migration","0.0005"
"1164","GO:0001667","ameboidal-type cell migration","0.0012"
"1165","GO:0042391","regulation of membrane potential","0.0014"
"1166","GO:0010389","regulation of G2/M transition of mitotic...","0.0017"
"1167","GO:1902749","regulation of cell cycle G2/M phase tran...","0.0017"
"1168","GO:1902903","regulation of supramolecular fiber organ...","0.0017"
"1169","GO:0000086","G2/M transition of mitotic cell cycle","0.0021"
"1170","GO:0048872","homeostasis of number of cells","0.0031"
"1171","GO:0051899","membrane depolarization","0.00089"
"1172","GO:0006486","protein glycosylation","0.00539"
"1173","GO:0043413","macromolecule glycosylation","0.00539"
"1174","GO:0070085","glycosylation","0.00539"
"1175","GO:0017144","drug metabolic process","0.00568"
"1176","GO:0001503","ossification","0.00765"
"1177","GO:0043687","post-translational protein modification","0.00816"
"1178","GO:0009101","glycoprotein biosynthetic process","0.00822"
"1179","GO:1901137","carbohydrate derivative biosynthetic pro...","0.00839"
"1180","GO:0002064","epithelial cell development","0.00857"
"1181","GO:0030097","hemopoiesis","0.00013"
"1182","GO:0030217","T cell differentiation","0.00014"
"1183","GO:0002520","immune system development","0.00045"
"1184","GO:0048534","hematopoietic or lymphoid organ developm...","0.00045"
"1185","GO:0002521","leukocyte differentiation","0.00183"
"1186","GO:0046631","alpha-beta T cell activation","0.00268"
"1187","GO:0046632","alpha-beta T cell differentiation","0.00268"
"1188","GO:0060341","regulation of cellular localization","0.00352"
"1189","GO:0017144","drug metabolic process","0.00420"
"1190","GO:0030098","lymphocyte differentiation","0.00463"
"1191","GO:0098742","cell-cell adhesion via plasma-membrane a...","5.6e-05"
"1192","GO:0007156","homophilic cell adhesion via plasma memb...","0.00016"
"1193","GO:0098609","cell-cell adhesion","0.00050"
"1194","GO:0007155","cell adhesion","0.00283"
"1195","GO:0022610","biological adhesion","0.00283"
"1196","GO:0042493","response to drug","0.00635"
"1197","GO:0043410","positive regulation of MAPK cascade","0.00976"
"1198","GO:0010562","positive regulation of phosphorus metabo...","0.01121"
"1199","GO:0045937","positive regulation of phosphate metabol...","0.01121"
"1200","GO:0043408","regulation of MAPK cascade","0.01676"
"1201","GO:1901137","carbohydrate derivative biosynthetic pro...","0.0021"
"1202","GO:0017144","drug metabolic process","0.0023"
"1203","GO:0006486","protein glycosylation","0.0029"
"1204","GO:0043413","macromolecule glycosylation","0.0029"
"1205","GO:0070085","glycosylation","0.0029"
"1206","GO:0032984","protein-containing complex disassembly","0.0055"
"1207","GO:0035567","non-canonical Wnt signaling pathway","0.0057"
"1208","GO:0009101","glycoprotein biosynthetic process","0.0066"
"1209","GO:0001817","regulation of cytokine production","0.0074"
"1210","GO:0001819","positive regulation of cytokine producti...","0.0078"
"1211","GO:0006486","protein glycosylation","0.0012"
"1212","GO:0043413","macromolecule glycosylation","0.0012"
"1213","GO:0070085","glycosylation","0.0012"
"1214","GO:0001503","ossification","0.0030"
"1215","GO:1901137","carbohydrate derivative biosynthetic pro...","0.0057"
"1216","GO:0009101","glycoprotein biosynthetic process","0.0062"
"1217","GO:0005975","carbohydrate metabolic process","0.0065"
"1218","GO:1901135","carbohydrate derivative metabolic proces...","0.0074"
"1219","GO:0009100","glycoprotein metabolic process","0.0079"
"1220","GO:0005976","polysaccharide metabolic process","0.0088"
"1221","GO:0009059","macromolecule biosynthetic process","0.0092"
"1222","GO:0018130","heterocycle biosynthetic process","0.0092"
"1223","GO:0019438","aromatic compound biosynthetic process","0.0092"
"1224","GO:0044271","cellular nitrogen compound biosynthetic ...","0.0098"
"1225","GO:1901362","organic cyclic compound biosynthetic pro...","0.0111"
"1226","GO:0002520","immune system development","0.0112"
"1227","GO:0045595","regulation of cell differentiation","0.0118"
"1228","GO:0048732","gland development","0.0125"
"1229","GO:0010628","positive regulation of gene expression","0.0142"
"1230","GO:0009889","regulation of biosynthetic process","0.0146"
"1231","GO:0030154","cell differentiation","0.010"
"1232","GO:0030182","neuron differentiation","0.016"
"1233","GO:0010975","regulation of neuron projection developm...","0.016"
"1234","GO:0045664","regulation of neuron differentiation","0.016"
"1235","GO:0044271","cellular nitrogen compound biosynthetic ...","0.017"
"1236","GO:0048869","cellular developmental process","0.017"
"1237","GO:0007417","central nervous system development","0.028"
"1238","GO:0007399","nervous system development","0.028"
"1239","GO:0022008","neurogenesis","0.031"
"1240","GO:0048699","generation of neurons","0.031"
"1241","GO:0009636","response to toxic substance","0.018"
"1242","GO:0044281","small molecule metabolic process","0.027"
"1243","GO:0051094","positive regulation of developmental pro...","0.027"
"1244","GO:0019752","carboxylic acid metabolic process","0.030"
"1245","GO:0007423","sensory organ development","0.030"
"1246","GO:0003008","system process","0.032"
"1247","GO:0010468","regulation of gene expression","0.044"
"1248","GO:0030029","actin filament-based process","0.047"
"1249","GO:0030036","actin cytoskeleton organization","0.048"
"1250","GO:0045595","regulation of cell differentiation","0.052"
"1251","GO:0080135","regulation of cellular response to stres...","0.00026"
"1252","GO:0060255","regulation of macromolecule metabolic pr...","0.00030"
"1253","GO:0051171","regulation of nitrogen compound metaboli...","0.00040"
"1254","GO:0031331","positive regulation of cellular cataboli...","0.00042"
"1255","GO:0019222","regulation of metabolic process","0.00085"
"1256","GO:0051403","stress-activated MAPK cascade","0.00093"
"1257","GO:0009791","post-embryonic development","0.00122"
"1258","GO:0031323","regulation of cellular metabolic process","0.00124"
"1259","GO:0050794","regulation of cellular process","0.00125"
"1260","GO:0080090","regulation of primary metabolic process","0.00139"
"1261","GO:0010564","regulation of cell cycle process","0.00058"
"1262","GO:0051726","regulation of cell cycle","0.00276"
"1263","GO:0016569","covalent chromatin modification","0.00312"
"1264","GO:0016570","histone modification","0.00312"
"1265","GO:0010948","negative regulation of cell cycle proces...","0.00655"
"1266","GO:0007050","cell cycle arrest","0.01274"
"1267","GO:0045786","negative regulation of cell cycle","0.01421"
"1268","GO:0016032","viral process","0.01807"
"1269","GO:0014070","response to organic cyclic compound","0.01856"
"1270","GO:0043010","camera-type eye development","0.02044"
"1271","GO:0007010","cytoskeleton organization","0.0012"
"1272","GO:0090287","regulation of cellular response to growt...","0.0013"
"1273","GO:0097435","supramolecular fiber organization","0.0133"
"1274","GO:0035966","response to topologically incorrect prot...","0.0363"
"1275","GO:0000226","microtubule cytoskeleton organization","0.0395"
"1276","GO:0030029","actin filament-based process","0.0419"
"1277","GO:0051270","regulation of cellular component movemen...","0.0488"
"1278","GO:0032886","regulation of microtubule-based process","0.0497"
"1279","GO:0051641","cellular localization","0.0499"
"1280","GO:0030308","negative regulation of cell growth","0.0506"
"1281","GO:0070201","regulation of establishment of protein l...","0.011"
"1282","GO:0051223","regulation of protein transport","0.030"
"1283","GO:0090087","regulation of peptide transport","0.030"
"1284","GO:0032880","regulation of protein localization","0.034"
"1285","GO:0071495","cellular response to endogenous stimulus","0.076"
"1286","GO:0051049","regulation of transport","0.077"
"1287","GO:0009059","macromolecule biosynthetic process","0.079"
"1288","GO:0034645","cellular macromolecule biosynthetic proc...","0.085"
"1289","GO:0023061","signal release","0.086"
"1290","GO:0032870","cellular response to hormone stimulus","0.086"
"1291","GO:0007423","sensory organ development","0.0077"
"1292","GO:0009887","animal organ morphogenesis","0.0078"
"1293","GO:0009653","anatomical structure morphogenesis","0.0116"
"1294","GO:0044267","cellular protein metabolic process","0.0117"
"1295","GO:0030182","neuron differentiation","0.0144"
"1296","GO:0007420","brain development","0.0167"
"1297","GO:0061061","muscle structure development","0.0168"
"1298","GO:0060322","head development","0.0173"
"1299","GO:0016311","dephosphorylation","0.0192"
"1300","GO:0031175","neuron projection development","0.0225"
"1301","GO:0018193","peptidyl-amino acid modification","0.0039"
"1302","GO:0044255","cellular lipid metabolic process","0.0129"
"1303","GO:0006518","peptide metabolic process","0.0157"
"1304","GO:0009653","anatomical structure morphogenesis","0.0162"
"1305","GO:0043604","amide biosynthetic process","0.0190"
"1306","GO:0010608","posttranscriptional regulation of gene e...","0.0196"
"1307","GO:0009892","negative regulation of metabolic process","0.0207"
"1308","GO:0009887","animal organ morphogenesis","0.0208"
"1309","GO:1901566","organonitrogen compound biosynthetic pro...","0.0231"
"1310","GO:0006082","organic acid metabolic process","0.0319"
"1311","GO:0007155","cell adhesion","0.014"
"1312","GO:0022610","biological adhesion","0.014"
"1313","GO:0044403","symbiotic process","0.022"
"1314","GO:0001667","ameboidal-type cell migration","0.029"
"1315","GO:1902903","regulation of supramolecular fiber organ...","0.032"
"1316","GO:0051254","positive regulation of RNA metabolic pro...","0.033"
"1317","GO:0016032","viral process","0.051"
"1318","GO:0034622","cellular protein-containing complex asse...","0.054"
"1319","GO:0042176","regulation of protein catabolic process","0.056"
"1320","GO:0050730","regulation of peptidyl-tyrosine phosphor...","0.059"
"1321","GO:0007268","chemical synaptic transmission","0.0014"
"1322","GO:0098916","anterograde trans-synaptic signaling","0.0014"
"1323","GO:0007420","brain development","0.0018"
"1324","GO:0060322","head development","0.0018"
"1325","GO:0007399","nervous system development","0.0021"
"1326","GO:0007417","central nervous system development","0.0034"
"1327","GO:0099536","synaptic signaling","0.0036"
"1328","GO:0099537","trans-synaptic signaling","0.0036"
"1329","GO:0050804","modulation of chemical synaptic transmis...","0.0070"
"1330","GO:0099177","regulation of trans-synaptic signaling","0.0070"
"1331","GO:0030323","respiratory tube development","0.0011"
"1332","GO:0030324","lung development","0.0011"
"1333","GO:0060541","respiratory system development","0.0011"
"1334","GO:0007600","sensory perception","0.0052"
"1335","GO:0048738","cardiac muscle tissue development","0.0056"
"1336","GO:0002275","myeloid cell activation involved in immu...","0.0075"
"1337","GO:0002283","neutrophil activation involved in immune...","0.0075"
"1338","GO:0036230","granulocyte activation","0.0075"
"1339","GO:0042119","neutrophil activation","0.0075"
"1340","GO:0043299","leukocyte degranulation","0.0075"
"1341","GO:0006807","nitrogen compound metabolic process","0.0065"
"1342","GO:0006974","cellular response to DNA damage stimulus","0.0066"
"1343","GO:0048584","positive regulation of response to stimu...","0.0074"
"1344","GO:1903827","regulation of cellular protein localizat...","0.0083"
"1345","GO:0051098","regulation of binding","0.0113"
"1346","GO:0002520","immune system development","0.0138"
"1347","GO:0072594","establishment of protein localization to...","0.0145"
"1348","GO:0001932","regulation of protein phosphorylation","0.0171"
"1349","GO:0051172","negative regulation of nitrogen compound...","0.0185"
"1350","GO:0044237","cellular metabolic process","0.0225"
"1351","GO:0042391","regulation of membrane potential","0.0027"
"1352","GO:0006811","ion transport","0.0028"
"1353","GO:0021700","developmental maturation","0.0047"
"1354","GO:0006812","cation transport","0.0063"
"1355","GO:0061024","membrane organization","0.0142"
"1356","GO:2001233","regulation of apoptotic signaling pathwa...","0.0224"
"1357","GO:0043269","regulation of ion transport","0.0238"
"1358","GO:0098655","cation transmembrane transport","0.0240"
"1359","GO:0022898","regulation of transmembrane transporter ...","0.0271"
"1360","GO:0032409","regulation of transporter activity","0.0271"
"1361","GO:0008544","epidermis development","0.010"
"1362","GO:0043588","skin development","0.020"
"1363","GO:0032504","multicellular organism reproduction","0.022"
"1364","GO:0044271","cellular nitrogen compound biosynthetic ...","0.023"
"1365","GO:0018130","heterocycle biosynthetic process","0.026"
"1366","GO:0048609","multicellular organismal reproductive pr...","0.028"
"1367","GO:0030855","epithelial cell differentiation","0.029"
"1368","GO:0043603","cellular amide metabolic process","0.031"
"1369","GO:0019438","aromatic compound biosynthetic process","0.032"
"1370","GO:0034654","nucleobase-containing compound biosynthe...","0.032"
"1371","GO:0006790","sulfur compound metabolic process","0.00039"
"1372","GO:0042542","response to hydrogen peroxide","0.00211"
"1373","GO:0021953","central nervous system neuron differenti...","0.00337"
"1374","GO:0000302","response to reactive oxygen species","0.00509"
"1375","GO:0060021","roof of mouth development","0.00574"
"1376","GO:0031669","cellular response to nutrient levels","0.00595"
"1377","GO:0009913","epidermal cell differentiation","0.00612"
"1378","GO:0045165","cell fate commitment","0.00628"
"1379","GO:0031668","cellular response to extracellular stimu...","0.00690"
"1380","GO:0048285","organelle fission","0.00846"
"1381","GO:0003002","regionalization","9.8e-05"
"1382","GO:0009952","anterior/posterior pattern specification","0.00022"
"1383","GO:0007389","pattern specification process","0.00022"
"1384","GO:0045596","negative regulation of cell differentiat...","0.00585"
"1385","GO:0014706","striated muscle tissue development","0.00622"
"1386","GO:0010467","gene expression","0.00807"
"1387","GO:0032984","protein-containing complex disassembly","0.00829"
"1388","GO:0048705","skeletal system morphogenesis","0.00911"
"1389","GO:0051046","regulation of secretion","0.01017"
"1390","GO:0043009","chordate embryonic development","0.01046"
"1391","GO:0000302","response to reactive oxygen species","0.0024"
"1392","GO:0031334","positive regulation of protein-containin...","0.0026"
"1393","GO:0032273","positive regulation of protein polymeriz...","0.0026"
"1394","GO:0045787","positive regulation of cell cycle","0.0043"
"1395","GO:0048469","cell maturation","0.0060"
"1396","GO:0043543","protein acylation","0.0073"
"1397","GO:0022402","cell cycle process","0.0075"
"1398","GO:0008016","regulation of heart contraction","0.0077"
"1399","GO:0031016","pancreas development","0.0095"
"1400","GO:0002285","lymphocyte activation involved in immune...","0.0099"
"1401","GO:0009607","response to biotic stimulus","0.0012"
"1402","GO:0055082","cellular chemical homeostasis","0.0015"
"1403","GO:0043207","response to external biotic stimulus","0.0020"
"1404","GO:0051707","response to other organism","0.0020"
"1405","GO:0042592","homeostatic process","0.0025"
"1406","GO:0019725","cellular homeostasis","0.0041"
"1407","GO:0048878","chemical homeostasis","0.0042"
"1408","GO:0032101","regulation of response to external stimu...","0.0051"
"1409","GO:0006874","cellular calcium ion homeostasis","0.0065"
"1410","GO:0055074","calcium ion homeostasis","0.0065"
"1411","GO:0070887","cellular response to chemical stimulus","0.0020"
"1412","GO:0050804","modulation of chemical synaptic transmis...","0.0024"
"1413","GO:0099177","regulation of trans-synaptic signaling","0.0024"
"1414","GO:0002366","leukocyte activation involved in immune ...","0.0031"
"1415","GO:0050794","regulation of cellular process","0.0034"
"1416","GO:0060627","regulation of vesicle-mediated transport","0.0038"
"1417","GO:0050789","regulation of biological process","0.0038"
"1418","GO:0002275","myeloid cell activation involved in immu...","0.0043"
"1419","GO:0002444","myeloid leukocyte mediated immunity","0.0043"
"1420","GO:0043299","leukocyte degranulation","0.0043"
"1421","GO:0050793","regulation of developmental process","0.0028"
"1422","GO:0051046","regulation of secretion","0.0031"
"1423","GO:1903530","regulation of secretion by cell","0.0031"
"1424","GO:0006952","defense response","0.0038"
"1425","GO:0010563","negative regulation of phosphorus metabo...","0.0055"
"1426","GO:0045936","negative regulation of phosphate metabol...","0.0055"
"1427","GO:0048863","stem cell differentiation","0.0068"
"1428","GO:0051047","positive regulation of secretion","0.0069"
"1429","GO:1903532","positive regulation of secretion by cell","0.0069"
"1430","GO:0040007","growth","0.0087"
"1431","GO:0007267","cell-cell signaling","0.022"
"1432","GO:0051094","positive regulation of developmental pro...","0.032"
"1433","GO:0048584","positive regulation of response to stimu...","0.035"
"1434","GO:0098609","cell-cell adhesion","0.038"
"1435","GO:0065008","regulation of biological quality","0.041"
"1436","GO:0010033","response to organic substance","0.044"
"1437","GO:0045595","regulation of cell differentiation","0.049"
"1438","GO:0006629","lipid metabolic process","0.049"
"1439","GO:0009967","positive regulation of signal transducti...","0.049"
"1440","GO:0060341","regulation of cellular localization","0.051"
"1441","GO:0050877","nervous system process","0.001"
"1442","GO:0060341","regulation of cellular localization","0.014"
"1443","GO:0035239","tube morphogenesis","0.016"
"1444","GO:0048514","blood vessel morphogenesis","0.016"
"1445","GO:0007600","sensory perception","0.017"
"1446","GO:0003008","system process","0.019"
"1447","GO:0001525","angiogenesis","0.024"
"1448","GO:0001568","blood vessel development","0.030"
"1449","GO:0001944","vasculature development","0.030"
"1450","GO:0072358","cardiovascular system development","0.030"
"1451","GO:0097193","intrinsic apoptotic signaling pathway","0.0014"
"1452","GO:0008152","metabolic process","0.0016"
"1453","GO:0006807","nitrogen compound metabolic process","0.0023"
"1454","GO:0034976","response to endoplasmic reticulum stress","0.0024"
"1455","GO:0010604","positive regulation of macromolecule met...","0.0029"
"1456","GO:0012501","programmed cell death","0.0044"
"1457","GO:0097190","apoptotic signaling pathway","0.0044"
"1458","GO:0044248","cellular catabolic process","0.0051"
"1459","GO:0044238","primary metabolic process","0.0051"
"1460","GO:0051173","positive regulation of nitrogen compound...","0.0052"
"1461","GO:0098742","cell-cell adhesion via plasma-membrane a...","0.00031"
"1462","GO:0007156","homophilic cell adhesion via plasma memb...","0.00038"
"1463","GO:0007155","cell adhesion","0.01374"
"1464","GO:0022610","biological adhesion","0.01374"
"1465","GO:0048731","system development","0.01409"
"1466","GO:0098609","cell-cell adhesion","0.01670"
"1467","GO:0051248","negative regulation of protein metabolic...","0.02876"
"1468","GO:0032502","developmental process","0.02913"
"1469","GO:0007275","multicellular organism development","0.03152"
"1470","GO:0006351","transcription, DNA-templated","0.03156"
"1471","GO:2000026","regulation of multicellular organismal d...","0.0028"
"1472","GO:0045944","positive regulation of transcription by ...","0.0032"
"1473","GO:0030030","cell projection organization","0.0043"
"1474","GO:0120036","plasma membrane bounded cell projection ...","0.0043"
"1475","GO:0006928","movement of cell or subcellular componen...","0.0050"
"1476","GO:0007610","behavior","0.0065"
"1477","GO:0022603","regulation of anatomical structure morph...","0.0066"
"1478","GO:0045935","positive regulation of nucleobase-contai...","0.0069"
"1479","GO:0007275","multicellular organism development","0.0073"
"1480","GO:0032501","multicellular organismal process","0.0076"
"1481","GO:0051246","regulation of protein metabolic process","0.0078"
"1482","GO:0031399","regulation of protein modification proce...","0.0096"
"1483","GO:0030217","T cell differentiation","0.0103"
"1484","GO:0030154","cell differentiation","0.0111"
"1485","GO:0048869","cellular developmental process","0.0111"
"1486","GO:0008283","cell population proliferation","0.0135"
"1487","GO:0071310","cellular response to organic substance","0.0158"
"1488","GO:0051252","regulation of RNA metabolic process","0.0195"
"1489","GO:0007166","cell surface receptor signaling pathway","0.0195"
"1490","GO:0032268","regulation of cellular protein metabolic...","0.0202"
"1491","GO:0009059","macromolecule biosynthetic process","0.14"
"1492","GO:0044281","small molecule metabolic process","0.14"
"1493","GO:0051276","chromosome organization","0.15"
"1494","GO:0006396","RNA processing","0.16"
"1495","GO:0034220","ion transmembrane transport","0.17"
"1496","GO:0051241","negative regulation of multicellular org...","0.18"
"1497","GO:0090304","nucleic acid metabolic process","0.18"
"1498","GO:0034645","cellular macromolecule biosynthetic proc...","0.19"
"1499","GO:0022607","cellular component assembly","0.19"
"1500","GO:0044085","cellular component biogenesis","0.19"
"1501","GO:0016569","covalent chromatin modification","0.0017"
"1502","GO:0006325","chromatin organization","0.0018"
"1503","GO:0016570","histone modification","0.0025"
"1504","GO:0007346","regulation of mitotic cell cycle","0.0030"
"1505","GO:0044772","mitotic cell cycle phase transition","0.0065"
"1506","GO:0048871","multicellular organismal homeostasis","0.0098"
"1507","GO:0043414","macromolecule methylation","0.0120"
"1508","GO:0044770","cell cycle phase transition","0.0121"
"1509","GO:0051276","chromosome organization","0.0131"
"1510","GO:0000956","nuclear-transcribed mRNA catabolic proce...","0.0134"
"1511","GO:0010646","regulation of cell communication","0.00095"
"1512","GO:0009966","regulation of signal transduction","0.00112"
"1513","GO:0023051","regulation of signaling","0.00143"
"1514","GO:0048583","regulation of response to stimulus","0.00145"
"1515","GO:0043066","negative regulation of apoptotic process","0.00239"
"1516","GO:0043069","negative regulation of programmed cell d...","0.00275"
"1517","GO:0060548","negative regulation of cell death","0.00313"
"1518","GO:0048585","negative regulation of response to stimu...","0.00504"
"1519","GO:0010648","negative regulation of cell communicatio...","0.00535"
"1520","GO:0023057","negative regulation of signaling","0.00535"
"1521","GO:0070555","response to interleukin-1","0.00012"
"1522","GO:0030595","leukocyte chemotaxis","0.00067"
"1523","GO:0060341","regulation of cellular localization","0.00079"
"1524","GO:0001892","embryonic placenta development","0.00183"
"1525","GO:0007159","leukocyte cell-cell adhesion","0.00387"
"1526","GO:1903037","regulation of leukocyte cell-cell adhesi...","0.00387"
"1527","GO:0006403","RNA localization","0.00400"
"1528","GO:0048568","embryonic organ development","0.00562"
"1529","GO:0001890","placenta development","0.00632"
"1530","GO:0032944","regulation of mononuclear cell prolifera...","0.00653"
"1531","GO:0042326","negative regulation of phosphorylation","0.0010"
"1532","GO:0048523","negative regulation of cellular process","0.0014"
"1533","GO:0048519","negative regulation of biological proces...","0.0015"
"1534","GO:0001933","negative regulation of protein phosphory...","0.0015"
"1535","GO:0048639","positive regulation of developmental gro...","0.0019"
"1536","GO:0017144","drug metabolic process","0.0019"
"1537","GO:0010563","negative regulation of phosphorus metabo...","0.0023"
"1538","GO:0045936","negative regulation of phosphate metabol...","0.0023"
"1539","GO:0045927","positive regulation of growth","0.0029"
"1540","GO:0009892","negative regulation of metabolic process","0.0033"
"1541","GO:0010468","regulation of gene expression","3.1e-05"
"1542","GO:0010629","negative regulation of gene expression","8.1e-05"
"1543","GO:0051254","positive regulation of RNA metabolic pro...","0.00020"
"1544","GO:0045893","positive regulation of transcription, DN...","0.00021"
"1545","GO:2000112","regulation of cellular macromolecule bio...","0.00022"
"1546","GO:1902680","positive regulation of RNA biosynthetic ...","0.00023"
